EOD-Code,EOD-Name,Symbol-IB,longName-IB,Name_197
8963,Invincible Investment Corp,8963,INVINCIBLE INVESTMENT CORP,INVINCIBLE INVESTMENT CORP
IVX,Invion Ltd,IVX,INVION LTD,INVION LTD
IVX,InVision Aktiengesellschaft,IVX,INVISION AG,INVISION AG
NVTA,Invitae Corp,NVTA,INVITAE CORP,INVITAE CORP
INVH,Invitation Homes Inc,INVH,INVITATION HOMES INC,INVITATION HOMES INC
INC1L,INVL TECHNOLOGY,INC1L,INVL TECHNOLOGY,INVL TECHNOLOGY AB
IVC,Invocare Ltd,IVC,INVOCARE LIMITED,INVOCARE LIMITED
INWC,INWITH CORP - PRIVATE COMPANY,INWC,INWITH CORP - PRIVATE COMPANY,INWITH CORP - PRIVATE COMPANY
IYXI,INYX INC,IYXI,INYX INC,INYX INC
IZN,InZinc Mining Ltd,IZN,INZINC MINING LTD,INZINC MINING LTD
IOM,iomart Group plc,IOM,IOMART GROUP PLC,IOMART GROUP PLC
INR,ioneer Ltd,INR,IONEER LTD,IONEER LTD
IONC,IONIC BRANDS CORP,IONC,IONIC BRANDS CORP,IONIC BRANDS CORP
ISI,Ionis Pharmaceuticals Inc,IONS,IONIS PHARMACEUTICALS INC,IONIS PHARMACEUTICALS INC
IINX,Ionix Technology Inc,IINX,IONIX TECHNOLOGY INC,IONIX TECHNOLOGY INC
IOT,IOT GROUP LTD,IOT,IOT GROUP LTD,IOT GROUP LTD
IOU,IOU Financial Inc,IOU,IOU FINANCIAL INC,IOU FINANCIAL INC
IOVA,Iovance Biotherapeutics Inc,IOVA,IOVANCE BIOTHERAPEUTICS INC,IOVANCE BIOTHERAPEUTICS INC
IOFB,IOWA FIRST BANCSHARES CORP,IOFB,IOWA FIRST BANCSHARES CORP,IOWA FIRST BANCSHARES CORP
IPO,IP Group,IPO,IP GROUP PLC,IP GROUP PLC
IPB,IPB Petroleum Ltd,IPB,IPB PETROLEUM LTD,IPB PETROLEUM LTD
AZA,IPC Corporation Ltd,AZA,IPC CORP LTD,IPC CORP LTD
IPCALAB,IPCA Laboratories Limited,IPCALAB,IPCA LABORATORIES LTD,IPCA LABORATORIES LIMITED
IPGP,IPG Photonics Corporation,IPF,IPG PHOTONICS CORP,IPG PHOTONICS CORP
IPC,IPLAYCO CORP LTD,IPC,IPLAYCO CORP LTD,IPLAYCO CORP LTD
IPN,Ipsen SA,IPN,IPSEN,IPSEN
IPS,Ipsos SA,IPS,IPSOS,IPSOS
AGGE,IQ ENHANCED CORE BOND US ETF,AGGE,IQ ENHANCED CORE BOND US ETF,IQ ENHANCED CORE BOND US ETF
IQ,iQIYI Inc,IQ,IQIYI INC-ADR,IQIYI INC-ADR
IQST,Iqstel Inc,IQST,IQSTEL INC,IQSTEL INC
IQV,IQVIA Holdings Inc,IQV,IQVIA HOLDINGS INC,IQVIA HOLDINGS INC
6035,IR Japan Holdings Ltd,6035,IR JAPAN HOLDINGS LTD,IR JAPAN HOLDINGS LTD
IRMD,Iradimed Co,IRMD,IRADIMED CORP,IRADIMED CORP
IRE,Iress Ltd,IRE,IRESS LTD,IRESS LTD
IRTC,iRhythm Technologies Inc,IRTC,IRHYTHM TECHNOLOGIES INC,IRHYTHM TECHNOLOGIES INC
0438,IRICO Group New Energy,438,IRICO GROUP NEW ENERGY COM-H,IRICO GROUP NEW ENERGY COM-H
IRIX,IRIDEX Corporation,IRIX,IRIDEX CORP,IRIDEX CORP
IRDM,Iridium Communications Inc,IRDM,IRIDIUM COMMUNICATIONS INC,IRIDIUM COMMUNICATIONS INC
IRSB,IRIS BIOTECHNOLOGIES INC,IRSB,IRIS BIOTECHNOLOGIES INC,IRIS BIOTECHNOLOGIES INC
IR5B,Irish Continental Group PLC,ICGC,IRISH CONTINENTAL GROUP PLC,IRISH CONTINENTAL GROUP PLC
6908,Iriso Electronics Co Ltd,6908,IRISO ELECTRONICS CO LTD,IRISO ELECTRONICS CO LTD
IRK,IRKUTSKENERGO-SPONSORED ADR,IRK,IRKUTSKENERGO-SPONSORED ADR,IRKUTSKENERGO-SPONSORED ADR
IRBT,iRobot Corporation,IRBT,IROBOT CORP,IROBOT CORP
IRM,Iron Mountain Incorporated,IRM,IRON MOUNTAIN INC,IRON MOUNTAIN INC
INM,IRON MOUNTAIN INC-CDI,INM,IRON MOUNTAIN INC-CDI,IRON MOUNTAIN INC-CDI
IBC,Ironbark Capital Ltd,IBC,IRONBARK CAPITAL LTD,IRONBARK CAPITAL LTD
IBG,Ironbark Zinc Ltd,IBG,IRONBARK ZINC LTD,IRONBARK ZINC LTD
IROG,IRONWOOD GOLD CORP,IROG,IRONWOOD GOLD CORP,IRONWOOD GOLD CORP
IRWD,Ironwood Pharmaceuticals Inc,IRWD,IRONWOOD PHARMACEUTICALS INC,IRONWOOD PHARMACEUTICALS INC
IRV,IRVING RESOURCES INC,IRV,IRVING RESOURCES INC,IRVING RESOURCES INC
IWRS,IRWIN RESOURCES INC,IWRS,IRWIN RESOURCES INC,IRWIN RESOURCES INC
ISBA,ISABELLA BANK CORP,ISBA,ISABELLA BANK CORP,ISABELLA BANK CORP
4107,Ise Chemicals Corp,4107,ISE CHEMICALS CORP,ISE CHEMICALS CORP
6310,Iseki & Co Ltd,6310,ISEKI & CO LTD,ISEKI & CO LTD
ISD,ISENTIA GROUP LTD,ISD,ISENTIA GROUP LTD,ISENTIA GROUP LTD
3099,Isetan Mitsukoshi Holdings Ltd.,3099,ISETAN MITSUKOSHI HOLDINGS L,ISETAN MITSUKOSHI HOLDINGS L
I15,Isetan (Singapore) Limited,I15,ISETAN SINGAPORE LTD,ISETAN SINGAPORE LTD
1329,iShares Core Nikkei 225 ETF,1329,ISHARES CORE NIKKEI 225 ETF,ISHARES CORE NIKKEI 225 ETF
CGL,iShares Gold Bullion (CAD Hedged),CGL,ISHARES GOLD BULLION ETF,ISHARES GOLD BULLION ETF
SLV,iShares Silver Trust,SLV,ISHARES SILVER TRUST,ISHARES SILVER TRUST
4462,Ishihara Chemical Co Ltd,4462,ISHIHARA CHEMICAL CO LTD,ISHIHARA CHEMICAL CO LTD
4028,Ishihara Sangyo Kaisha Ltd,4028,ISHIHARA SANGYO KAISHA LTD,ISHIHARA SANGYO KAISHA LTD
6208,Ishikawa Seisakusho Ltd,6208,ISHIKAWA SEISAKUSHO LTD,ISHIKAWA SEISAKUSHO LTD
ISGN,iSign Solutions Inc,ISGN,ISIGN SOLUTIONS INC,ISIGN SOLUTIONS INC
IBII,ISLAND BREEZE INTERNATIONAL,IBII,ISLAND BREEZE INTERNATIONAL,ISLAND BREEZE INTERNATIONAL
ISHI,ISLET HOLDINGS INC,ISHI,ISLET HOLDINGS INC,ISLET HOLDINGS INC
ISLT,ISLET SCIENCES INC,ISLT,ISLET SCIENCES INC,ISLET SCIENCES INC
ISMTLTD,ISMT Limited,ISMTLTD,ISMT LTD,ISMT LTD
ISO,Isoenergy Ltd,ISO,ISOENERGY LTD,ISOENERGY LTD
5358,ISOLITE INSULATING PRODUCTS,5358,ISOLITE INSULATING PRODUCTS,ISOLITE INSULATING PRODUCTS
IOMT,ISOMET CORP,IOMT,ISOMET CORP,ISOMET CORP
ISR,IsoRay Inc,ISR,ISORAY INC,ISORAY INC
5WF,Isoteam Ltd,5WF,ISOTEAM LTD,ISOTEAM LTD
ISCN,Israel Canada,ISCN,ISRAEL CANADA T.R LTD,ISRAEL CANADA T.R LTD
DSCT,Israel Discount Bank Ltd,DSCT,ISRAEL DISCOUNT BANK-A,ISRAEL DISCOUNT BANK-A
ILDC,Israel Land Development Company Co Ltd,ILDC,ISRAEL LAND DEVELOPMENT - UR,ISRAEL LAND DEVELOPMENT - UR
ISRO,Isrotel -L,ISRO,ISROTEL LTD,ISROTEL LTD
ISDR,Issuer Direct Corp,ISDR,ISSUER DIRECT CORP,ISSUER DIRECT CORP
STAR,istar Inc,STAR,ISTAR INC,ISTAR INC
3660,Istyle Inc,3660,ISTYLE INC,ISTYLE INC
7202,Isuzu Motors Ltd.,7202,ISUZU MOTORS LTD,ISUZU MOTORS LTD
ITGL,IT GROUP HOLDINGS INC,ITGL,IT GROUP HOLDINGS INC,IT GROUP HOLDINGS INC
ITP,IT TECH PACKAGING INC,ITP,IT TECH PACKAGING INC,IT TECH PACKAGING INC
ITX,Itaconix plc,ITX,ITACONIX PLC,ITACONIX PLC
IIG,Italia Independent Group S.p.A,IIG,ITALIA INDEPENDENT GROUP,ITALIA INDEPENDENT GROUP
IEG,Italian Exhibition Group SpA,IEG,ITALIAN EXHIBITION GROUP SPA,ITALIAN EXHIBITION GROUP SPA
IFBC,Blast Applications,IFBC,ITALIAN FOOD & BEVERAGE CORP,ITALIAN FOOD & BEVERAGE CORP
IWB,Italian Wine Brands S.p.A,IWB,ITALIAN WINE BRANDS SPA,ITALIAN WINE BRANDS SPA
ITMR,ITAMAR MEDICAL LTD-SPON ADR,ITMR,ITAMAR MEDICAL LTD-SPON ADR,ITAMAR MEDICAL LTD-SPON ADR
ITC,ITC HOLDINGS CORP,ITC,ITC HOLDINGS CORP,ITC HOLDINGS CORP
ITDCEM,ITD Cementation India Limited,ITDCEM,ITD CEMENTATION INDIA LTD,ITD CEMENTATION INDIA LTD
ITKH,Iteknik Holding Corp,ITKH,ITEKNIK HOLDING CORP,ITEKNIK HOLDING CORP
INLB,Item 9 Labs Corp,INLB,ITEM 9 LABS CORP,ITEM 9 LABS CORP
ITI,Iteris Inc,ITI,ITERIS INC,ITERIS INC
ITRM,Iterum Therapeutics PLC,ITRM,ITERUM THERAPEUTICS PLC,ITERUM THERAPEUTICS PLC
IAE,ITHACA ENERGY INC,IAE,ITHACA ENERGY INC,ITHACA ENERGY INC
ITHH,ITIS HOLDINGS INC,ITHH,ITIS HOLDINGS INC,ITIS HOLDINGS INC
ITM,ITM Power,ITM,ITM POWER PLC,ITM POWER PLC
2148,ITmedia Inc,2148,ITMEDIA INC.,ITMEDIA INC.
2593,Ito En Ltd,2593,ITO EN LTD,ITO EN LTD
8133,Itochu Enex Co Ltd,8133,ITOCHU ENEX CO LTD,ITOCHU ENEX CO LTD
2692,Itochu-Shokuhin Co Ltd,2692,ITOCHU-SHOKUHIN CO LTD,ITOCHU-SHOKUHIN CO LTD
2296,Itoham Yonekyu Holdings Inc,2296,ITOHAM YONEKYU HOLDINGS INC,ITOHAM YONEKYU HOLDINGS INC
7972,Itoki Corp,7972,ITOKI CORP,ITOKI CORP
ITNS,Itonis Inc,ITNS,ITONIS INC,ITONIS INC
ITRI,Itron Inc,ITRI,ITRON INC,ITRON INC
ITRO,ITRONICS INC,ITRO,ITRONICS INC,ITRONICS INC
ITS,ITS GROUP,ITS,ITS GROUP,ITS GROUP
2II,ITT Inc,ITT,ITT INC,ITT INC
ITRN,Ituran Location and Control Ltd,ITRN,ITURAN LOCATION AND CONTROL,ITURAN LOCATION AND CONTROL
ITV,ITV PLC,ITV,ITV PLC,ITV PLC
IVN,Ivanhoe Mines Ltd.,IYAA,IVANHOE MINES LTD-CL A,IVANHOE MINES LTD-CL A
1931,IVD Medical Holding Ltd,1931,IVD MEDICAL HOLDING LIMITED,IVD MEDICAL HOLDING LIMITED
IGL,IVE Group Ltd,IGL,IVE GROUP LTD,IVE GROUP LTD
IVDA,Iveda Solutions Inc,IVDA,IVEDA SOLUTIONS INC,IVEDA SOLUTIONS INC
IVP,IVP Limited,IVP,IVP LIMITED,IVP LIMITED
IVRCLINFR,IVRCL LTD,IVRCLINFR,IVRCL LTD,IVRCL LTD
IVI,Ivrnet Inc,IVI,IVRNET INC.,IVRNET INC.
IVS,IVS Group SA,IVS,IVS GROUP,IVS GROUP
4918,Ivy Cosmetics Corp,4918,IVY COSMETICS CORP,IVY COSMETICS CORP
8707,IwaiCosmo Holdings Inc,8707,IWAI COSMO HOLDINGS INC,IWAI COSMO HOLDINGS INC
6924,Iwasaki Electric Co Ltd,6924,IWASAKI ELECTRIC CO LTD,IWASAKI ELECTRIC CO LTD
8088,Iwatani Corp,8088,IWATANI CORP,IWATANI CORP
IWG,IWG PLC,IWG,IWG PLC,IWG PLC
9753,I X Knowledge Inc,9753,IX KNOWLEDGE INC,IX KNOWLEDGE INC
IXI,IXICO PLC,IXI,IXICO PLC,IXICO PLC
IXYS,IXYS CORPORATION,IXYS,IXYS CORPORATION,IXYS CORPORATION
8385,The Iyo Bank Ltd,8385,IYO BANK LTD/THE,IYO BANK LTD/THE
IZEA,IZEA Inc,IZEA,IZEA WORLDWIDE INC,IZEA WORLDWIDE INC
8273,Izumi Co Ltd,8273,IZUMI CO LTD,IZUMI CO LTD
JAX,J ALEXANDER'S HOLDINGS,JAX,J ALEXANDER'S HOLDINGS,J ALEXANDER'S HOLDINGS
3086,J.Front Retailing Co. Ltd.,3086,J FRONT RETAILING CO LTD,J FRONT RETAILING CO LTD
8508,J Trust Co Ltd,8508,J TRUST CO LTD,J TRUST CO LTD
JASO,JA SOLAR HOLDINGS CO LTD-ADR,JASO,JA SOLAR HOLDINGS CO LTD-ADR,JA SOLAR HOLDINGS CO LTD-ADR
JBL,Jabil Circuit Inc,JBL,JABIL INC,JABIL INC
2124,Jac Recruitment Co Ltd,2124,JAC RECRUITMENT CO LTD,JAC RECRUITMENT CO LTD
JCDAF,JACADA LTD.,JCDAF,JACADA LTD.,JACADA LTD.
JACK,Jack In The Box Inc,JACK,JACK IN THE BOX INC,JACK IN THE BOX INC
JKA,JACKA RESOURCES LTD,JKA,JACKA RESOURCES LTD,JACKA RESOURCES LTD
JKSM,JACKSAM CORP,JKSM,JACKSAM CORP,JACKSAM CORP
J17,Jackspeed Corporation Limited,J17,JACKSPEED CORPORATION LTD,JACKSPEED CORPORATION LTD
J,Jacobs Engineering Group Inc,J,JACOBS ENGINEERING GROUP INC,JACOBS ENGINEERING GROUP INC
2633,Jacobson Pharma Corporation Ltd,2633,JACOBSON PHARMA CORP LTD,JACOBSON PHARMA CORP LTD
JBOG,Jacques Bogart SA,JBOG,JACQUES BOGART,JACQUES BOGART
JCQ,Jacquet Metal Service SA,JCQ,JACQUET METALS SA,JACQUET METAL SERVICE SA
J03,Jadason Enterprises Ltd,J03,JADASON ENTERPRISES LTD,JADASON ENTERPRISES LTD
JADA,Jadeart Group Inc,JADA,JADE ART GROUP INC,JADE ART GROUP INC
JADE,Jade Leader Corp,JADE,JADE LEADER CORP,JADE LEADER CORP
JSE,Jadestone Energy Inc,JSE,JADESTONE ENERGY PLC,JADESTONE ENERGY INC
JSE,JADESTONE ENERGY INC,JSE,JADESTONE ENERGY INC,JADESTONE ENERGY INC
JAEG,Jaeger Resources Corp,JAEG,JAEGER RESOURCES CORP,JAEGER RESOURCES CORP
8595,Jafco Co Ltd,8595,JAFCO GROUP CO LTD,JAFCO CO LTD
JAGRAN,Jagran Prakashan Limited,JAGRAN,JAGRAN PRAKASHAN LIMITED,JAGRAN PRAKASHAN LIMITED
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,JAGSNPHAR,JAGSONPAL PHARMACEUTICALS,JAGSONPAL PHARMACEUTICALS
JAGX,Jaguar Animal Health Inc,JAGX,JAGUAR HEALTH INC,JAGUAR HEALTH INC
JAG,Jaguar Mining Inc,JAG,JAGUAR MINING INC,JAGUAR MINING INC
JRI.H,JAGUAR RESOURCES INC,JRI.H,JAGUAR RESOURCES INC,JAGUAR RESOURCES INC
JAIBALAJI,Jai Balaji Industries Limited,JAIBALAJI,JAI BALAJI INDUSTRIES LTD,JAI BALAJI INDUSTRIES LTD
JAIHINDPR,JAIHIND PROJECTS LIMITED,JAIHINDPR,JAIHIND PROJECTS LIMITED,JAIHIND PROJECTS LIMITED
JISLDVREQS,Jain Irrigation Systems Limited,JISLDVREQ,JAIN IRRIGATION SYSTEMS-DVR,JAIN IRRIGATION SYSTEMS-DVR
JAINSTUDIO,JAIN STUDIOS LTD.,JAINSTUDI,JAIN STUDIOS LTD,JAIN STUDIOS LTD
JPASSOCIAT,Jaiprakash Associates Limited,JPASSOCIA,JAIPRAKASH ASSOCIATES LTD,JAIPRAKASH ASSOCIATES LTD
JPPOWER,Jaiprakash Power Ventures Limited,JPPOWER,JAIPRAKASH POWER VENTURES LT,JAIPRAKASH POWER VENTURES LT
JAKHARIA,JAKHARIA FABRIC PVT LTD,JAKHARIA,JAKHARIA FABRIC PVT LTD,JAKHARIA FABRIC PVT LTD
JAKK,JAKKS Pacific Inc,JAKK,JAKKS PACIFIC INC,JAKKS PACIFIC INC
2729,JALUX INC,2729,JALUX INC,JALUX INC
JMBA,JAMBA INC,JMBA,JAMBA INC,JAMBA INC
7408,Jamco Corp,7408,JAMCO CORP,JAMCO CORP
JBR,JAMES BAY RESOURCES LTD,JBR,JAMES BAY RESOURCES LTD,JAMES BAY RESOURCES LTD
JWCAF,James E Wagner Cultivation Corp,JWCA.H,JAMES E WAGNER CULTIVATION C,JAMES E WAGNER CULTIVATION C
FSJ,James Fisher and Sons PLC,FSJ,JAMES FISHER & SONS PLC,JAMES FISHER & SONS PLC
JHD,James Halstead PLC,JHD,JAMES HALSTEAD PLC,JAMES HALSTEAD PLC
JHX,James Hardie Industries PLC,JHX,JAMES HARDIE INDUSTRIES-CDI,JAMES HARDIE INDUSTRIES-CDI
JRVR,James River Group Holdings Ltd,JRVR,JAMES RIVER GROUP HOLDINGS L,JAMES RIVER GROUP HOLDINGS L
JRIV,JAMES RIVER HOLDINGS CORP,JRIV,JAMES RIVER HOLDINGS CORP,JAMES RIVER HOLDINGS CORP
JAL,Jameson Resources Ltd,JAL,JAMESON RESOURCES LTD,JAMESON RESOURCES LTD
JWEL,Jamieson Wellness Inc,JWEL,JAMIESON WELLNESS INC,JAMIESON WELLNESS INC
JAMN,Jammin Java Corp,JAMN,JAMMIN JAVA CORP,JAMMIN JAVA CORP
J&KBANK,The Jammu & Kashmir Bank Limited,JKBANK,JAMMU & KASHMIR BANK LTD,JAMMU & KASHMIR BANK LTD
JAMNAAUTO,Jamna Auto Industries Limited,JAMNAAUTO,JAMNA AUTO INDUSTRIES LTD,JAMNA AUTO INDUSTRIES LTD
JANL,Janel Corp,JANL,JANEL CORP,JANEL CORP
JAN,Jangada Mines Plc,JAN,JANGADA MINES PLC,JANGADA MINES PLC
601886,Jangho Group Co Ltd,601886,JANGHO GROUP CO LTD-A,JANGHO GROUP CO LTD-A
JAN,Janison Education Group Ltd,JAN,JANISON EDUCATION GROUP LTD,JANISON EDUCATION GROUP LTD
6445,Janome Sewing Machine Co Ltd,6445,JANOME CORP,JANOME SEWING MACHINE CO LTD
JNS,JANUS CAPITAL GROUP INC,JNS,JANUS CAPITAL GROUP INC,JANUS CAPITAL GROUP INC
JHG,Janus Henderson Group PLC DRC,JHG,JANUS HENDERSON GROUP-CDI,JANUS HENDERSON GROUP PLC
9201,Japan Airlines Co Ltd,9201,JAPAN AIRLINES CO LTD,JAPAN AIRLINES CO LTD
9706,Japan Airport Terminal Co Ltd,9706,JAPAN AIRPORT TERMINAL CO,JAPAN AIRPORT TERMINAL CO
8518,Japan Asia Investment Co Ltd,8518,"JAPAN ASIA INVESTMENT CO., LTD","JAPAN ASIA INVESTMENT CO., LTD"
6807,Japan Aviation Electronics Ltd,6807,JAPAN AVIATION ELECTRONICS,JAPAN AVIATION ELECTRONICS
6418,Japan Cash Machine Co Ltd,6418,JAPAN CASH MACHINE CO LTD,JAPAN CASH MACHINE CO LTD
9424,Japan Communications Inc,9424,JAPAN COMMUNICATIONS INC,JAPAN COMMUNICATIONS INC
6740,Japan Display Inc,6740,JAPAN DISPLAY INC,JAPAN DISPLAY INC
6016,Japan Engine Corp,6016,JAPAN ENGINE CORP,JAPAN ENGINE CORP
8987,Japan Excellent Inc,8987,JAPAN EXCELLENT INC,JAPAN EXCELLENT INC
8697,Japan Exchange Group Inc,8697,JAPAN EXCHANGE GROUP INC,JAPAN EXCHANGE GROUP INC
2599,Japan Foods Co Ltd,2599,JAPAN FOODS CO LTD,JAPAN FOODS CO LTD
5OI,Japan Foods Holding Ltd,5OI,JAPAN FOODS HOLDING LTD,JAPAN FOODS HOLDING LTD
1914,Japan Foundation Engineering,1914,JAPAN FOUNDATION ENGINEERING,JAPAN FOUNDATION ENGINEERING
JG,Japan Gold Corp,JG,JAPAN GOLD CORP,JAPAN GOLD CORP
8985,Japan Hotel Reit Investment Corp,8985,JAPAN HOTEL REIT INVESTMENT,JAPAN HOTEL REIT INVESTMENT
7172,Japan Investment Adviser Co Ltd,7172,JAPAN INVESTMENT ADVISER CO,JAPAN INVESTMENT ADVISER CO
7575,Japan Lifeline Co Ltd,7575,JAPAN LIFELINE CO LTD,JAPAN LIFELINE CO LTD
9060,Japan Logistic Systems Corp,9060,JAPAN LOGISTIC SYSTEMS CORP,JAPAN LOGISTIC SYSTEMS CORP
8967,Japan Logistics Fund Inc,8967,"JAPAN LOGISTICS FUND, INC.","JAPAN LOGISTICS FUND, INC."
6055,Japan Material Co Ltd,6055,JAPAN MATERIAL CO LTD,JAPAN MATERIAL CO LTD
9074,Japan Oil Transportation Co Ltd,9074,JAPAN OIL TRANSPORTATION CO,JAPAN OIL TRANSPORTATION CO
1662,Japan Petroleum Exploration Co Ltd,1662,JAPAN PETROLEUM EXPLORATION,JAPAN PETROLEUM EXPLORATION
1540,Mitsubishi Japan Physical Gold,1540,JAPAN PHYSICAL GOLD ETF/MUFG,JAPAN PHYSICAL GOLD ETF/MUFG
7182,Japan Post Bank Co Ltd,7182,JAPAN POST BANK CO LTD,JAPAN POST BANK CO LTD
6178,Japan Post Holdings Co Ltd,6178,JAPAN POST HOLDINGS CO LTD,JAPAN POST HOLDINGS CO LTD
7181,Japan Post Insurance Co Ltd,7181,JAPAN POST INSURANCE CO LTD,JAPAN POST INSURANCE CO LTD
8952,Japan Real Estate Investment Corp,8952,JAPAN REAL ESTATE INVESTMENT,JAPAN REAL ESTATE INVESTMENT
8953,Japan Retail Fund Investment Corp,8953,JAPAN METROPOLITAN FUND INVE,JAPAN RETAIL FUND INVESTMENT
8511,Japan Securities Finance Co Ltd,8511,JAPAN SECURITIES FINANCE CO,JAPAN SECURITIES FINANCE CO
5631,Japan Steel Works Ltd,5631,JAPAN STEEL WORKS LTD,JAPAN STEEL WORKS LTD
7774,Japan Tissue Engineering Co Ltd,7774,JAPAN TISSUE ENGINEERING CO,JAPAN TISSUE ENGINEERING CO
2914,Japan Tobacco Inc,2914,JAPAN TOBACCO INC,JAPAN TOBACCO INC
UD2,Japfa Ltd,UD2,JAPFA LTD,JAPFA LTD
JAH,JARDEN CORP,JAH,JARDEN CORP,JARDEN CORP
J36,Jardine Matheson Holdings Limited,J36,JARDINE MATHESON HLDGS LTD,JARDINE MATHESON HLDGS LTD
J37,JARDINE STRATEGIC HLDGS LTD,J37,JARDINE STRATEGIC HLDGS LTD,JARDINE STRATEGIC HLDGS LTD
JASN,JASMINE INTL PCL-FOREIGN,JASN,JASMINE INTL PCL-FOREIGN,JASMINE INTL PCL-FOREIGN
3080,Jason Co Ltd,3080,JASON CO LTD,JASON CO LTD
5PF,Jason Marine Group Limited,5PF,JASON MARINE GROUP LTD,JASON MARINE GROUP LTD
FQ7,Jasper Investments Limited,FQ7,JASPER INVESTMENTS LTD,JASPER INVESTMENTS LTD
JMI,JAVELIN MORTGAGE INVESTMENT,JMI,JAVELIN MORTGAGE INVESTMENT,JAVELIN MORTGAGE INVESTMENT
1J7,JAWALA INC,1J7,JAWALA INC,JAWALA INC
JAX,Jaxon Mining Inc,JAX,JAXON MINING INC,JAXON MINING INC
JAYBARMARU,Jay Bharat Maruti Limited,JAYBARMAR,JAY BHARAT MARUTI LIMITED,JAY BHARAT MARUTI LIMITED
BJE,JAYA HOLDINGS LTD,BJE,JAYA HOLDINGS LTD,JAYA HOLDINGS LTD
JAYNECOIND,Jayaswal Neco Industries Limited,JAYNECOIN,JAYASWAL NECO INDUSTRIES LTD,JAYASWAL NECO INDUSTRIES LTD
JDN,JAYDEN RESOURCES INC,JDN,JAYDEN RESOURCES INC,JAYDEN RESOURCES INC
JYHW,JAYHAWK ENERGY INC,JYHW,JAYHAWK ENERGY INC,JAYHAWK ENERGY INC
JPINFRATEC,Jaypee Infratech Limited,JPINFRATE,JAYPEE INFRATECH LTD,JAYPEE INFRATECH LTD
JAY,Jayride Group Ltd,JAY,JAYRIDE GROUP LTD,JAYRIDE GROUP LTD
JAZZ,Jazz Pharmaceuticals PLC,JAZZ,JAZZ PHARMACEUTICALS PLC,JAZZ PHARMACEUTICALS PLC
BEW,JB Foods Limited,BEW,JB FOODS LTD,JB FOODS LTD
1903,JBB Builders International Ltd,1903,JBB BUILDERS INTERNATIONAL L,JBB BUILDERS INTERNATIONAL L
JBFIND,JBF Industries Limited,JBFIND,JBF INDUSTRIES LIMITED,JBF INDUSTRIES LIMITED
JCS,JCurve Solutions Ltd,JCS,JCURVE SOLUTIONS LTD,JCURVE SOLUTIONS LTD
1887,JDC Corporation,1887,JDC CORP,JDC CORP
JEF,Jefferies Financial Group Inc,JEF,JEFFERIES FINANCIAL GROUP IN,JEFFERIES FINANCIAL GRP INC
JFWV,Jefferson Security Bank,JFWV,JEFFERSON SECURITY BANK/W VA,JEFFERSON SECURITY BANK/W VA
JFBC,Jeffersonville Bancorp,JFBC,JEFFERSONVILLE BANCORP/N Y,JEFFERSONVILLE BANCORP/N Y
JELD,Jeld-Wen Holding Inc,JELD,JELD-WEN HOLDING INC,JELD-WEN HOLDING INC
JTC,JEMTEC Inc,JTC,JEMTEC INC.,JEMTEC INC.
JEN,Jenoptik AG,JEN,JENOPTIK AG,JENOPTIK AG
JEN,Jensen-Group,JEN1,JENSEN-GROUP NV,JENSEN-GROUP NV
6951,JEOL Ltd,6951,JEOL LTD,JEOL LTD
JRSH,Jerash Holdings US Inc,JRSH,JERASH HOLDINGS US INC,JERASH HOLDINGS US INC
JCAP,JERNIGAN CAPITAL INC,JCAP,JERNIGAN CAPITAL INC,JERNIGAN CAPITAL INC
JOG,Jersey Oil and Gas PLC,JOG,JERSEY OIL & GAS PLC,JERSEY OIL & GAS PLC
JRV,Jervois Mining Ltd,JRV,JERVOIS GLOBAL LTD,JERVOIS MINING LTD
EG0,JES INTERNATIONAL HLDS LTD,EG0,JES INTERNATIONAL HLDS LTD,JES INTERNATIONAL HLDS LTD
1434,Jesco Holdings Inc,1434,JESCO HOLDINGS INC,JESCO HOLDINGS INC
JETAIRWAYS,Jet Airways (India) Limited,JETAIRWAY,JET AIRWAYS INDIA LTD,JET AIRWAYS INDIA LTD
JTBK,Jetblack Corp,JTBK,JETBLACK CORP,JETBLACK CORP
JBLU,JetBlue Airways Corp,JBLU,JETBLUE AIRWAYS CORP,JETBLUE AIRWAYS CORP
JTM,JETCOM INC.,JTM,JETCOM INC.,JETCOM INC.
JETPAK,Jetpak Top Holding AB,JETPAK,JETPAK TOP HOLDING AB,JETPAK TOP HOLDING AB
JCTCF,Jewett-Cameron Trading Company Ltd,JCTCF,JEWETT-CAMERON TRADING LTD,JEWETT-CAMERON TRADING LTD
5411,JFE Holdings Inc.,5411,JFE HOLDINGS INC,JFE HOLDINGS INC
1963,JGC Corp.,1963,JGC HOLDINGS CORP,JGC HOLDINGS CORP
1935,JH Educational Technology Inc,1935,JH EDUCATIONAL TECHNOLOGY IN,JH EDUCATIONAL TECHNOLOGY IN
JHS,JHS Svendgaard Laboratories Limited,JHS,JHS SVENDGAARD LABORATORIES,JHS SVENDGAARD LABORATORIES
8519,Jia Group Holdings Limited,8519,JIA GROUP HOLDINGS LTD,JIA GROUP HOLDINGS LTD
1626,Jia Yao Holdings Ltd,1626,JIA YAO HOLDINGS LTD,JIA YAO HOLDINGS LTD
0602,Jiahua Stores Holdings Ltd,602,JIAHUA STORES HOLDINGS,JIAHUA STORES HOLDINGS
