,IB-industry,IB-longName,IB-marketName,IB-ISIN,IB-Symbol
12704,"Consumer, Cyclical",LONCIN MOTOR CO LTD-A,603766,CNE100001JP2,603766
12705,Financial,LONDON & ASSOC PROP PLC,SSX3,GB0005234223,LAS
12706,,STERLING CAPITAL FOCUS EQUIT,LCG,US66538H3856,LCG
12707,Communications,LONDON CAPITAL GROUP HOLDING,LCG,GB00B0RHGY93,LCG
12708,Financial,LONDON CITY EQUITIES LIMITED,LCE,AU000000LCE8,LCE
12709,Basic Materials,LONDON MINING PLC,LOND,GB00B1VZK334,LOND
12710,Financial,LONDONMETRIC PROPERTY PLC,STMM,GB00B4WFW713,LMP
12711,Industrial,LUMENPULSE INC,LMP,CA55024T1021,LMP
12712,Energy,LITHIUM ONE METALS INC,LONE,CA5368071000,LONE
12713,Energy,LONESTAR RESOURCES US INC,LONE,US54240F2020,LONE
12714,"Consumer, Non-cyclical",LONG BLOCKCHAIN CORP,LBCC,US5426141025,LBCC
12715,Diversified,LONGEVITY ACQUISITION CORP,LOAC,VGG563721320,LOAC
12716,Financial,LONGFIN CORP,NOINFO,US54304F1066,LFIN
12717,Energy,LONGI GREEN ENERGY TECHNOL-A,601012,CNE100001FR6,601012
12718,Energy,LONGITECH SMART ENERGY HOLDI,1281,KYG5636J1022,1281
12719,"Consumer, Non-cyclical",LONGLIFE HOLDING CO LTD,4355,JP3756070003,4355
12720,Basic Materials,LEOCOR GOLD INC,XETRA,CA52637G1063,LGO
12721,Basic Materials,LARGO INC,LGO,CA5170971017,LGO
12722,Energy,LONGREACH OIL LIMITED,LGO,AU000000LGO8,LGO
12723,"Consumer, Non-cyclical",LONGINO & CARDENAL - SPA,LON,IT0005337073,LON
12724,Energy,LONGWEI PETROLEUM INVESTMENT,LPIH,US5433541043,LPIH
12725,Financial,LONGWEN GROUP CORP,CURRENT,US5433561090,LWLW
12726,Basic Materials,LONKEY IND CO GUANGZHOU-A,000523,CNE0000005T1,000523
12727,Industrial,LONKING HOLDINGS LTD,3339,KYG5636C1078,3339
12728,Basic Materials,LONMIN PLC,LMI,GB00BYSRJ698,LMI
12729,Industrial,LONSEAL CORP,4224,JP3985200009,4224
12730,"Consumer, Non-cyclical",LONZA GROUP AG-REG,LONN,CH0013841017,LONN
12731,"Consumer, Cyclical",LOOK HOLDINGS INC,8029,JP3981000007,8029
12732,Communications,IMPERIUM FINANCIAL GROUP LTD,8029,KYG857AT1018,8029
12733,"Consumer, Cyclical",LOOKERS PLC,SSMM,GB00B17MMZ46,LOOK
12734,Communications,LOOKSMART GROUP INC,LIMITED,US54344C1053,LKST
12735,Industrial,LOOP INDUSTRIES INC,NMS,US5435181046,LOOP
12736,Technology,LOOPUP GROUP PLC,ASQ1,GB00BYQP6S60,LOOP
12737,Energy,MATRIX SERVICE CO,NMS,US5768531056,MTRX
12738,Technology,MATRIX IT LTD,MTRX,IL0004450156,MTRX
12739,"Consumer, Cyclical",LORENZO INTERNATIONAL LTD,5IE,SG1T35930281,5IE
12740,"Consumer, Non-cyclical",LORILLARD INC,LO,US5441471019,LO
12741,Financial,LORNE PARK CAPITAL PARTNERS,LPC,CA5441781062,LPC
12742,Basic Materials,LOS ANDES COPPER LTD,LA,CA5443122000,LA
12743,"Consumer, Cyclical",LOTTO24,LO24,DE000LTT2470,LO24
12744,"Consumer, Non-cyclical",LOTUS PHARMACEUTICALS INC,CURRENT,US5457152032,LTUS
12745,Industrial,LOUD TECHNOLOGIES INC,NOINFO,US5457312008,LTEC
12746,Technology,LOGITECH INTERNATIONAL-REG,XETRA,CH0025751329,LTEC
12747,Industrial,LOUISIANA-PACIFIC CORP,LPX,US5463471053,LPX
12748,"Consumer, Cyclical",LOUNGERS PLC,ASQ1,GB00BH4JR002,LGRS
12749,"Consumer, Cyclical",LOVABLE LINGERIE LTD,LOVABLE,INE597L01014,LOVABLE
12750,Technology,LOVE GROUP GLOBAL LTD,LVE,AU000000LVE8,LVE
12751,,LYXOR EURSTX50 DAILY LEV,ETF,FR0010468983,LVE
12752,Communications,LOVE INTERNATIONAL GROUP INC,NOINFO,US54714U1079,LOVV
12753,"Consumer, Cyclical",LOVISA HOLDINGS LTD,LOV,AU000000LOV7,LOV
12754,Communications,SPARK NETWORKS SE-ADR,SCM,US8465171002,LOV
12755,"Consumer, Cyclical",LOWE'S COS INC,LOW,US5486611073,LOW
12756,,LOWELL RESOURCES FUND,LRT,AU000000LRT4,LRT
12757,,LOWLAND INVESTMENT COMPANY,SSMM,GB00BNXGHS27,LWI
12758,Communications,LOYALTYPOINT INC,LYLP,US54908P1049,LYLP
12759,Industrial,LPKF LASER & ELECTRONICS,XETRA,DE0006450000,LPK
12760,Basic Materials,LUPAKA GOLD CORP,LPK,CA5504351019,LPK
12761,,WT PLATINUM 2X DLY LEVERAGED,ETCS,JE00B2NFV134,LPLA
12762,Financial,LPL FINANCIAL HOLDINGS INC,NMS,US50212V1008,LPLA
12763,Industrial,LSB INDUSTRIES INC,LXU,US5021601043,LXU
12764,"Consumer, Non-cyclical",LSC COMMUNICATIONS INC,LKSDQ,US50218P1075,LKSDQ
12765,Industrial,LSI INDUSTRIES INC,NMS,US50216C1080,LYTS
12766,Financial,LSL PROPERTY SERVICES PLC,SSMM,GB00B1G5HX72,LSL
12767,Financial,LSR GROUP PJSC-GDR REGS,LSRG,US50218G2066,LSRG
12768,Financial,LSR GROUP PJSC,LSRG,RU000A0JPFP0,LSRG
12769,Financial,LTC PROPERTIES INC,LTC,US5021751020,LTC
12770,"Consumer, Non-cyclical",MESOBLAST LTD,XETRA,AU000000MSB8,LWB
12771,Energy,LUBELSKI WEGIEL BOGDANKA SA,LWB,PLLWBGD00016,LWB
12772,"Consumer, Cyclical",LUBY'S INC,LUB,US5492821013,LUB
12773,Basic Materials,LUCAPA DIAMOND CO LTD,LOM,AU000000LOM6,LOM
12774,Industrial,LOCKHEED MARTIN CORP,XETRA,US5398301094,LOM
12775,Basic Materials,LORNEX CAPITAL INC,LOM,CA5441792036,LOM
12776,Basic Materials,LUCARA DIAMOND CORP,CURRENT,CA54928Q1081,LUCRF
12777,"Consumer, Non-cyclical",LUCAS BOLS NV,BOLS,NL0010998878,BOLS
12778,Industrial,LUCECO PLC,SSMM,GB00BZC0LP49,LUCE
12779,"Consumer, Non-cyclical",CALIBER IMAGING & DIAGNOSTIC,NOINFO,US13001C1053,LCDX
12780,"Consumer, Cyclical",LUCKIN COFFEE INC - ADR,CURRENT,US54951L1098,LKNCY
12781,Industrial,LUCKLAND CO LTD,9612,JP3968000004,9612
12782,Basic Materials,LUCKY FILM CO-A,600135,CNE000000V63,600135
12783,Financial,LUDGATE ENVIRONMENTAL FUND L,LEF,JE00B1YW3102,LEF
12784,"Consumer, Non-cyclical",OKUWA CO LTD,8217,JP3172150009,8217
12785,Industrial,LUEN WONG GROUP HOLDINGS LTD,8217,KYG5700C1244,8217
12786,Industrial,LUENMEI QUANTUM CO LTD-A,600167,CNE000000Y94,600167
12787,Basic Materials,LEGACY MINERALS HOLDINGS LTD,LGM,AU0000165383,LGM
12788,Basic Materials,LUIRI GOLD LTD,LGM,BMG5698C1029,LGM
12789,Energy,LUKOIL PJSC-SPON ADR,NEWX,US69343P1057,LUK
12790,"Consumer, Cyclical",PACIFIC LOTTERY CORPORATION,LUK,CA6945261049,LUK
12791,Technology,LUKARDI SA,LUK,PLSAP0000018,LUK
12792,"Consumer, Cyclical",LULULEMON ATHLETICA INC,NMS,US5500211090,LULU
12793,Financial,LUM CHANG HOLDINGS LTD,L19,SG1E20001293,L19
12794,"Consumer, Cyclical",LUMAX AUTO TECHNOLOGIES LTD,LUMAXTECH,INE872H01027,LUMAXTECH
12795,"Consumer, Cyclical",LUMAX INDUSTRIES LIMITED,LUMAXIND,INE162B01018,LUMAXIND
12796,"Consumer, Non-cyclical",LUMENIS LTD - B,LMNS,IL0011312597,LMNS
12797,Technology,LUMENTUM HOLDINGS INC,NMS,US55024U1097,LITE
12798,,COINSHARES PHYSICAL LITECOIN,LITE,GB00BLD4ZP54,LITE
12799,Technology,SPOTLITE360 IOT SOLUTIONS IN,LITE,CA84921X1078,LITE
12800,Basic Materials,LUMINA GOLD CORP,LUM,CA55026L3056,LUM
12801,Industrial,A.I.S. AG,XETRA,DE0006492903,LUM
12802,"Consumer, Non-cyclical",LUMINA GROUP LTD,1162,KYG569821047,1162
12803,"Consumer, Cyclical",LUMINAR MEDIA GROUP INC,CURRENT,US5502632061,LRGR
12804,"Consumer, Non-cyclical",LUMINEX CORP,LMNX,US55027E1029,LMNX
12805,Communications,LUNA INNOVATIONS INC,SCM,US5503511009,LUNA
12806,,21SHARES TERRA ETP,LUNA,CH1145931015,LUNA
12807,Industrial,LUNA TECHNOLOGIES INTL INC,LTII,US55036P1066,LTII
12808,Basic Materials,LUNDIN GOLD INC,LUG,CA5503711080,LUG
12809,Basic Materials,LUNDIN MINING CORP,CURRENT,CA5503721063,LUNMF
12810,Technology,LUOKUNG TECHNOLOGY CORP,SCM,VGG569811067,LKCO
12811,"Consumer, Non-cyclical",LUONIUSHAN CO LTD - A,000735,CNE000000CR6,000735
12812,Energy,LUOYANG GLASS COMPANY LTD-H,1108,CNE1000003Q0,1108
12813,Basic Materials,LUPAKA GOLD CORP,XETRA,CA5504351019,LQP
12814,"Consumer, Non-cyclical",LUPIN LTD,LUPIN,INE326A01037,LUPIN
12815,Industrial,LUSTROS INC,LSTS,US5505371048,LSTS
12816,"Consumer, Cyclical",LUTHAI TEXTILE CO LTD - A,000726,CNE000001667,000726
12817,Financial,LUTHER BURBANK CORP,NMS,US5505501073,LBC
12818,Basic Materials,LIBERO COPPER & GOLD CORP,LBC,CA53014U3047,LBC
12819,"Consumer, Cyclical",LUVU BRANDS INC,CURRENT,US55066U1088,LUVU
12820,"Consumer, Cyclical",LUX INDUSTRIES LTD,LUXIND,INE150G01020,LUXIND
12821,"Consumer, Non-cyclical",OUG HOLDINGS INC,8041,JP3180000006,8041
12822,Communications,LUXEY INTERNATIONAL HOLDINGS,8041,KYG5726E1614,8041
12823,Industrial,LUXFER HOLDINGS PLC,LXFR,GB00BNK03D49,LXFR
12824,Basic Materials,LUXI CHEMICAL GROUP CO LT-A,000830,CNE000000WN3,000830
12825,,BLACKROCK MUNI 2020 TERM TR,BKK,US09249X1090,BKK
12826,Industrial,LUXKING GROUP HOLDINGS LTD,BKK,BMG570141058,BKK
12827,Basic Materials,NEWLOX GOLD VENTURES CORP,LUX,CA65151R1001,LUX
12828,"Consumer, Cyclical",LUXOTTICA GROUP SPA,LUX,IT0001479374,LUX
12829,Technology,SOBAL CORP,2186,JP3431520000,2186
12830,"Consumer, Non-cyclical",LUYE PHARMA GROUP LTD,2186,BMG570071099,2186
12831,"Consumer, Cyclical",LUYIN INVESTMENT GROUP CO-A,600784,CNE000000NQ5,600784
12832,Financial,LUZERNER KANTONALBANK AG-REG,LUKN,CH0011693600,LUKN
12833,Financial,ZHONGTAI FUTURES CO LTD,1461,CNE100001ZZ7,1461
12834,"Consumer, Non-cyclical",LUZHOU LAOJIAO CO LTD-A,000568,CNE000000GF2,000568
12835,"Consumer, Non-cyclical",PRIMA MEAT PACKERS LTD,2281,JP3833200003,2281
12836,Industrial,LUZHOU XINGLU WATER GROUP -H,2281,CNE100002FH5,2281
12837,Industrial,LUZON GROUP,LUZN,IL0004730177,LUZN
12838,Financial,LVENTURE GROUP,LVEN,IT0005013013,LVEN
12839,"Consumer, Non-cyclical",LWP CAPITAL INC,LWP,CA5024641006,LWP
12840,Financial,LXI REIT PLC,STMM,GB00BYQ46T41,LXI
12841,Industrial,LENNOX INTL INC,XETRA,US5261071071,LXI
12842,"Consumer, Cyclical",LXRANDCO INC-CLASS B,LXR,CA5507891011,LXR
12843,Industrial,LYDALL INC,LDL,US5508191062,LDL
12844,Basic Materials,LYDIAN INTERNATIONAL LTD,LYD,JE00B29LFF73,LYD
12845,Technology,INTERCEDE GROUP PLC,XETRA,GB0003287249,LYD
12846,Communications,LYFT INC-A,NMS,US55087P1049,LYFT
12847,"Consumer, Non-cyclical",LYKA LABS LIMITED,LYKALABS,INE933A01014,LYKALABS
12848,Basic Materials,LYNAS RARE EARTHS LTD,LYSCF,AU000000LYC6,LYSCF
12849,Basic Materials,LYONDELLBASELL INDU-CL A,LYB,NL0009434992,LYB
12850,Financial,LYONS BANCORP INC,PRIMQX,US5521121047,LYBC
12851,"Consumer, Cyclical",LYRIC JEANS INC,NOINFO,US5523511088,LYJN
12852,,LYXOR MSCI INDIA,ETFS,FR0010375766,INRL
12853,Financial,M & T BANK CORP,MTB,US55261F1049,MTB
12854,Basic Materials,MOUNT BURGESS MINING NL,MTB,AU000000MTB6,MTB
12855,Financial,MONTEBALITO SA,MTB,ES0116494016,MTB
12856,Basic Materials,MOUNTAIN BOY MINERALS LTD,MTB,CA6238582069,MTB
12857,"Consumer, Non-cyclical",M K PROTEINS LTD,MKPL,INE964W01013,MKPL
12858,"Consumer, Cyclical",M LINE HOLDINGS INC.,NOINFO,US55313Q1085,MLHC
12859,Financial,M WINKWORTH PLC,ASQ1,GB00B4TT7L53,WINK
12860,Communications,M-UP HOLDINGS INC,3661,JP3167310006,3661
12861,Basic Materials,MAAN ALUMINIUM LTD,MAANALU,INE215I01019,MAANALU
12862,Industrial,MABUCHI MOTOR CO LTD,6592,JP3870000001,6592
12863,,MACARTHUR MINERALS LTD,MMSDF.OLD,AU000000MFE9,MMSDF.OLD
12864,Financial,MACATAWA BANK CORP,NMS,US5542251021,MCBC
12865,Industrial,MACAU CAPITAL INVESTMENTS,NOINFO,US55422A2006,MCIM
12866,,NIKKO ETF MSCI KOKUSAI,1680,JP3047120005,1680
12867,"Consumer, Cyclical",MACAU LEGEND DEVELOPMENT LTD,1680,KYG573611004,1680
12868,Basic Materials,MACDONALD MINES EXPLORATION,CURRENT,CA5543244001,MCDMF
12869,Financial,MACERICH CO/THE,MAC,US5543821012,MAC
12870,Basic Materials,THEMAC RESOURCES GROUP LTD,MAC,CA88337H1010,MAC
12871,"Consumer, Cyclical",MACRO CORPORATION LIMITED,MAC,AU000000MAC4,MAC
12872,"Consumer, Cyclical",MACFARLANE GROUP PLC,SSMM,GB0005518872,MACF
12873,,MACKENZIE CANADIAN ST FIXED,MCSB,CA55452Q1090,MCSB
12874,,MACKENZIE CHINA A-SHARES CSI,QCH,CA55454U1084,QCH
12875,Financial,MACKINAC FINANCIAL CORP,MFNC,US5545711096,MFNC
12876,Basic Materials,MACMAHON HOLDINGS LIMITED,MAH,AU000000MAH3,MAH
12877,Energy,MARKSMEN ENERGY INC,MAH,CA57072P1071,MAH
12878,Industrial,MACNICA FUJI ELECTRONICS HOL,3132,JP3862960006,3132
12879,,SAMSUNG BBG GB SMCD ETF-HKD,3132,HK0000792413,3132
12880,Technology,MACOM TECHNOLOGY SOLUTIONS H,NMS,US55405Y1001,MTSI
12881,Basic Materials,MACPHERSONS RESOURCES LTD,MRP,AU000000MRP0,MRP
12882,"Consumer, Cyclical",MR PRICE GROUP LTD,MRP,ZAE000200457,MRP
12883,Financial,MACQUARIE BANK LTD,MBLHB,AU0000MBLHB4,MBLHB
12884,Financial,MACQUARIE GROUP CAPITAL NOTES,MQGPC,AU0000010522,MQGPC
12885,Financial,MACQUARIE GROUP LTD,MQGPB,AU0000MQGPB5,MQGPB
12886,Industrial,MERSEN,MRN,FR0000039620,MRN
12887,Communications,MACQUARIE MEDIA LTD,MRN,AU000000MRN5,MRN
12888,Financial,MACQUARIE MEXICO REAL ESTATE,FIBRAMQ12,MXCFFI0U0002,FIBRAMQ12
12889,Communications,MACQUARIE TELECOM GROUP LTD,MAQ,AU000000MAQ4,MAQ
12890,"Consumer, Cyclical",MARRIOTT INTERNATIONAL -CL A,XETRA,US5719032022,MAQ
12891,Basic Materials,MCEWEN MINING - MINERA ANDES,MAQ,CA5803941049,MAQ
12892,,MFS CHARTER INCOME TRUST,MCR,US5527271093,MCR
12893,Basic Materials,MINCOR RESOURCES NL,MCR,AU000000MCR8,MCR
12894,Energy,MACRO ENTERPRISES INC,MCR,CA55608F1062,MCR
12895,Industrial,MERCOR SA,MCR,PLMRCOR00016,MCR
12896,"Consumer, Non-cyclical",MACROGENICS INC,NMS,US5560991094,MGNX
12897,Financial,MACROLINK CULTURALTAINMENT-A,000620,CNE000000958,000620
12898,Communications,MACROMILL INC,3978,JP3863030007,3978
12899,"Consumer, Non-cyclical",CHINA BESTSTUDY EDUCATION GR,3978,KYG2121W1024,3978
12900,"Consumer, Cyclical",MACYS INC,M,US55616P1049,M
12901,Financial,MOSAIC CAPITAL CORP,M,CA61945B1058,M
12902,Technology,MAD CATZ INTERACTIVE INC,MCZ,CA5561621056,MCZ
12903,Energy,MADAGASCAR OIL LTD,MOIL,BMG5738R1016,MOIL
12904,Basic Materials,MOIL LTD,MOIL,INE490G01020,MOIL
12905,"Consumer, Non-cyclical",MADARA COSMETICS AS,MDARA,LV0000101624,MDARA
12906,Industrial,MADHUCON PROJECTS LIMITED,MADHUCON,INE378D01032,MADHUCON
12907,Basic Materials,MADHYA BHARAT AGRO PRODUCTS,MBAPL,INE900L01010,MBAPL
12908,Financial,MADISON COUNTY FINANCIAL INC,CURRENT,US5567771002,MCBK
12909,"Consumer, Cyclical",UCHIDA YOKO CO LTD,8057,JP3157200001,8057
12910,"Consumer, Non-cyclical",MADISON HOLDINGS GROUP LTD,8057,KYG5747Y1136,8057
12911,"Consumer, Cyclical",MADISON SQUARE GARDEN SPORTS,MSGS,US55825T1034,MSGS
12912,Communications,MADISON TECHNOLOGIES INC,LIMITED,US55826L1098,MDEX
12913,Basic Materials,MADRAS FERTILIZERS LTD,MADRASFER,INE414A01015,MADRASFER
12914,"Consumer, Non-cyclical",MADRIGAL PHARMACEUTICALS INC,NMS,US5588681057,MDGL
12915,Basic Materials,MERIDIAN MINING UK SOCIETAS,MNO,NL0012084479,MNO
12916,Basic Materials,MAG SILVER CORP.,MAG,CA55903Q1046,MAG
12917,Basic Materials,MAGMATIC RESOURCES LTD,MAG,AU000000MAG5,MAG
12918,"Consumer, Non-cyclical",MAGADH SUGAR & ENERGY LTD,MAGADSUGA,INE347W01011,MAGADSUGA
12919,Industrial,MAGELLAN AEROSPACE CORP,CURRENT,CA5589122004,MALJF
12920,Financial,MIZUHO FINANCIAL GROUP-ADR,MFG,US60687Y1091,MFG
12921,Financial,MAGELLAN FINANCIAL GROUP LTD,MFG,AU000000MFG4,MFG
12922,Basic Materials,MAYFAIR GOLD CORP,MFG,CA57808L1076,MFG
12923,Basic Materials,MINAURUM GOLD INC,MGG,CA60252Q1019,MGG
12924,"Consumer, Cyclical",MGM RESORTS INTERNATIONAL,XETRA,US5529531015,MGG
12925,Technology,MOGUL GAMES GROUP LTD,MGG,AU0000224792,MGG
12926,Basic Materials,MAGELLAN GOLD CORP,CURRENT,US5590782091,MAGE
12927,"Consumer, Non-cyclical",MAGELLAN HEALTH INC,MGLN,US5590792074,MGLN
12928,Energy,MAGELLAN MIDSTREAM PARTNERS,MMP,US5590801065,MMP
12929,Basic Materials,MMP INDUSTRIES LTD,MMP,INE511Y01018,MMP
12930,"Consumer, Non-cyclical",MAGENTA THERAPEUTICS INC,NMS,US55910K1088,MGTA
12931,Industrial,MAGICSTEM GROUP CORP,NOINFO,US55917N1054,MGGI
12932,Financial,MIRVAC GROUP,MGR,AU000000MGR9,MGR
12933,Basic Materials,MAGNA GOLD CORP,MGR,CA55921P1045,MGR
12934,Financial,AFFILIATED MANAGERS GROU,MGR,US0082528508,MGR
12935,"Consumer, Cyclical",MAGNA INTERNATIONAL INC,MGA,CA5592224011,MGA
12936,Basic Materials,MEGA URANIUM LTD,MGA,CA58516W1041,MGA
12937,Basic Materials,METALSGROVE MINING LTD,MGA,AU0000223257,MGA
12938,Technology,MAGNA POLONIA SA,06N,PLNFI0600010,06N
12939,"Consumer, Cyclical",MATTEL INC,XETRA,US5770811025,MTT
12940,Basic Materials,MAGNA TERRA MINERALS INC,MTT,CA5592712007,MTT
12941,,WESTERN ASSET MUNCIPAL DEFIN,MTT,US95768A1097,MTT
12942,Basic Materials,MAGNETIC RESOURCES NL,MAU,AU000000MAU6,MAU
12943,Basic Materials,MONTAGE GOLD CORP,MAU,CA61178L1013,MAU
12944,Energy,MAUREL ET PROM,XETRA,FR0000051070,MAU
12945,,LYXOR DJ GL TITAN 50-D-EUR,MGT,FR0007075494,MGT
12946,Basic Materials,MAGNETITE MINES LTD,MGT,AU000000MGT5,MGT
12947,Basic Materials,MINES MANAGEMENT INC,MGT,US6034321058,MGT
12948,"Consumer, Cyclical",MANGATA HOLDING SA,MGT,PLZTKMA00017,MGT
12949,,ROYAL CANADIAN MINT SILVER,MNS,CA7799211130,MNS
12950,Basic Materials,MAGNIS ENERGY TECHNOLOGIES L,MNS,AU000000MNS3,MNS
12951,Financial,MENNICA SKARBOWA SA,MNS,PLGRMNK00014,MNS
12952,"Consumer, Non-cyclical",MOODY'S CORP,MCO,US6153691059,MCO
12953,Basic Materials,MORNING STAR GOLD NL,MCO,AU000000MCO5,MCO
12954,Energy,MAGNOLIA OIL & GAS CORP - A,MGY,US5596631094,MGY
12955,Basic Materials,MAGNUM VENTURES LIMITED,MAGNUM,INE387I01016,MAGNUM
12956,Energy,MAGNUS ENERGY GROUP LTD,41S,SG1AI2000007,41S
12957,Basic Materials,MAGNUS INTERNATIONAL RESOURC,MGNU,US55972Y1038,MGNU
12958,Financial,MAGYAR BANCORP INC,NMS,US55977T2087,MGYR
12959,Communications,MAGYAR TELEKOM TELECOMMUNICA,MTELEKOM,HU0000073507,MTELEKOM
12960,Basic Materials,MAHAMAYA STEEL INDUSTRIES,MAHASTEEL,INE451L01014,MAHASTEEL
12961,Industrial,MAGONTEC LTD,MGL,AU000000MGL2,MGL
12962,Utilities,MAHANAGAR GAS LTD,MGL,INE002S01010,MGL
12963,Communications,MAHANAGAR TELEPHONE NIGAM,MTNL,INE153A01019,MTNL
12964,"Consumer, Cyclical",MAHARASHTRA SCOOTERS LTD,MAHSCOOTE,INE288A01013,MAHSCOOTE
12965,Industrial,MAHARASHTRA SEAMLESS LTD,MAHSEAMLE,INE271B01025,MAHSEAMLE
12966,Basic Materials,MAHESHWARI LOGISTICS LTD,MAHESHWAR,INE263W01010,MAHESHWAR
12967,Basic Materials,MAHICKRA CHEMICALS LTD,MAHICKRA,INE961Y01015,MAHICKRA
12968,Basic Materials,METALLICA METALS CORP,MM,CA5912551044,MM
12969,"Consumer, Cyclical",MAHINDRA & MAHINDRA LIMITED,MM,INE101A01026,MM
12970,Communications,MILLENNIAL MEDIA INC,MM,US60040N1054,MM
12971,"Consumer, Cyclical",MAHINDRA CIE AUTOMOTIVE LTD,MAHINDCIE,INE536H01010,MAHINDCIE
12972,Industrial,MAHINDRA LOGISTICS LTD,MAHLOG,INE766P01016,MAHLOG
12973,Financial,MAIDEN HOLDING LTD,MH PRD,BMG5753U1466,MH
12974,Financial,MAIDEN HOLDINGS LTD,MHLA,US5602923022,MHLA
12975,Financial,MAIDEN HOLDINGS NORTH AMERICA LTD,MHNC,US56029Q4082,MHNC
12976,"Consumer, Cyclical",MY FOOD BAG GROUP LTD,MFB,NZMFBE0004S1,MFB
12977,"Consumer, Cyclical",MAIDENFORM BRANDS INC,MFB,US5603051047,MFB
12978,Financial,MAIER & PARTNER AG,MPRK,DE000A1MMCY2,MPRK
12979,Financial,MAIN STREET CAPITAL CORP,MAIN,US56035L1044,MAIN
12980,"Consumer, Cyclical",MAINLAND HEADWEAR HLDGS LTD,1100,BMG5754W1091,1100
12981,Financial,MAINSOURCE FINANCIAL GROUP I,MSFG,US56062Y1029,MSFG
12982,"Consumer, Non-cyclical",MAINSTAY MEDICAL INTERNATION,MSTYP,IE00BJYS1G50,MSTYP
12983,Basic Materials,MINERA ALAMOS INC,MAI,CA60283L1058,MAI
12984,Communications,MAINTEL HOLDINGS PLC,ASQ1,GB00B046YG73,MAI
12985,Technology,MAINSTREAM GROUP HOLDINGS LT,MAI,AU000000MAI1,MAI
12986,Financial,MAINSTREET BANCSHARES INC,SCM,US56064Y1001,MNSB
12987,Financial,MAINSTREET EQUITY CORP,MEQ,CA5609151009,MEQ
12988,Communications,MAISTRO PLC,MAIS,GB00B8DX2616,MAIS
12989,Basic Materials,MAITHAN ALLOYS LTD,MAITHANAL,INE683C01011,MAITHANAL
12990,,MAJEDIE INVESTMENTS PLC-ORD,SSMM,GB0005555221,MAJE
12991,Basic Materials,MAJESTIC GOLD CORP.,XETRA,CA5609121077,MJT
12992,Basic Materials,MAJOR DRILLING GROUP INTL,CURRENT,CA5609091031,MJDLF
12993,,UBS ETF FTSE 100 JDR,1389,JP5442090006,1389
12994,"Consumer, Non-cyclical",MAJOR HOLDINGS LTD,1389,KYG5760H1121,1389
12995,"Consumer, Cyclical",MAJOR LEAGUE FOOTBALL INC,CURRENT,US5608141058,MLFB
12996,Communications,MAKEMYTRIP LTD,NMS,MU0295S00016,MMYT
12997,Industrial,MAKINO MILLING MACHINE CO,6135,JP3862800004,6135
12998,Industrial,MAKITA CORP,6586,JP3862400003,6586
12999,Basic Materials,MAKO MINING CORP,MKO,CA56089A1030,MKO
13000,"Consumer, Cyclical",CAPRI HOLDINGS LTD,XETRA,VGG1890L1076,MKO
13001,Financial,MYBUCKS SA,XETRA,LU1404975507,MBC
13002,Energy,MALABAR COAL LTD,MBC,AU000000MBC2,MBC
13003,Financial,MALAGA FINANCIAL CORP,CURRENT,US5610461031,MLGF
13004,"Consumer, Non-cyclical",MUELLER - DIE LILA LOGISTIK,XETRA,DE0006214687,MLL
13005,"Consumer, Cyclical",MALIBU BOATS INC - A,NMS,US56117J1007,MBUU
13006,"Consumer, Non-cyclical",MALTERIES FRANCO-BELGES,XETRA,FR0000030074,MALT
13007,Basic Materials,MALU PAPER MILLS LIMITED,MALUPAPER,INE383H01017,MALUPAPER
13008,Financial,MALVERN BANCORP INC,NMS,US5614091032,MLVF
13009,"Consumer, Non-cyclical",MALVERN INTERNATIONAL PLC,ASQ1,GB00B04XB679,MLVN
13010,Industrial,MAMAN CARGO TERMINALS & HAND,MMAN,IL0002380140,MMAN
13011,Industrial,MAMIYA-OP CO LTD,7991,JP3870300005,7991
13012,Financial,MAN GROUP PLC/JERSEY,STMM,JE00BJ1DLW90,EMG
13013,Industrial,MAN INDUSTRIES (INDIA) LTD,MANINDS,INE993A01026,MANINDS
13014,Industrial,MAN INFRACONSTRUCTION LTD,MANINFRA,INE949H01023,MANINFRA
13015,Financial,MAN SANG INTERNATIONAL LTD,938,BMG579461325,938
13016,"Consumer, Non-cyclical",MANPOWERGROUP INC,MAN,US56418H1005,MAN
13017,"Consumer, Cyclical",MANDRAKE RESOURCES LTD,MAN,AU0000054587,MAN
13018,Industrial,MAN SE,XETRA,DE0005937007,MAN
13019,Basic Materials,MAGNA MINING NL,MAN,AU000000MAN1,MAN
13020,Technology,MANYDEV STUDIO SE,MAN,PLADDRG00015,MAN
13021,Financial,SUMITOMO MITSUI TRUST HOLDIN,8309,JP3892100003,8309
13022,"Consumer, Non-cyclical",MAN SHING GLOBAL HOLDINGS LT,8309,KYG579641013,8309
13023,Industrial,MAN SHUN GROUP HOLDINGS LTD,1746,KYG579691000,1746
13024,"Consumer, Cyclical",MAN WAH HOLDINGS LTD,1999,BMG5800U1071,1999
13025,"Consumer, Non-cyclical",MANAGEMENT SOLUTIONS CO LTD,7033,JP3869980007,7033
13026,Industrial,MANAKSIA ALUMINIUM CO LTD,MANAKALUC,INE859Q01017,MANAKALUC
13027,Basic Materials,MANAKSIA STEELS LTD,MANAKSTEE,INE824Q01011,MANAKSTEE
13028,Basic Materials,MANALI PETROCHEMICALS LTD,MANALIPET,INE201A01024,MANALIPET
